TranscriptCluster	Duke	UW
3368748	7.611720149	9.797773371
3762040	8.225085701	6.894975764
3368814	8.352195745	9.55148077
3762083	4.223164572	4.67641975
3762125	6.3734877	6.560088734
2975655	9.458705478	8.509227376
3762149	8.100557221	8.104721048
2975680	10.56596601	10.78623423
3368940	5.371634654	5.208137444
3762185	6.783649158	6.510622825
3762198	6.890718449	7.32801962
2975741	7.90783405	8.407403741
2582562	7.682824329	8.679143431
3762339	9.87010498	9.818257282
2975867	7.184084619	8.76829903
3762355	8.238151529	11.33616249
3369117	6.168389317	4.653671523
3762380	6.226906334	5.789563205
3762416	9.006211051	8.971148818
2582701	5.540177646	5.434493681
3762443	3.290083744	5.135341961
3762473	10.24198136	10.26257253
3369249	9.70429144	11.06534657
3762519	9.850938469	10.16580812
2976041	4.72426431	4.845704139
2976091	4.808898553	4.190385717
2976113	8.678549085	10.28975763
3369366	4.8723917	4.312045526
3762625	8.202361396	8.977727357
2976155	4.874536333	5.865552652
3369442	4.881684194	4.313260366
2582979	7.40026125	8.238264603
2583014	8.355779436	7.600941201
3762753	5.009755851	4.375551526
2976360	5.466229035	6.345822729
2976417	5.786896892	4.414701583
2583254	4.600408033	3.836621006
3369762	8.302813681	9.455342976
2583374	4.831845581	4.896762676
2976626	7.804844124	9.483629048
3369890	8.752131394	8.969983144
3763148	8.720583726	10.17195237
3369931	3.937327912	4.48214483
2583465	5.399201007	4.957888294
2976727	5.888704898	3.581435613
2976768	7.926321201	9.917138325
3763270	9.221543018	8.827054719
2583602	5.358646806	4.42119412
2583631	6.776485344	5.648558437
3763390	3.825657173	4.641045199
3370269	5.607882871	4.926268317
2977122	5.429910498	4.124507082
3763656	8.41688301	9.062905111
3763687	9.319584066	10.45041363
2584018	4.862751405	4.273575566
2977265	5.443507198	6.508983185
2584113	5.123885497	4.148540983
2584134	3.991481031	3.075379169
2584207	5.831285706	5.62249408
2977471	10.09575337	10.5009348
2584258	4.275890949	4.569124458
2977510	10.19769894	11.01939613
3764002	10.93734807	9.506187228
3764022	6.032073836	6.579722224
3764066	9.99456735	8.629629832
3764103	11.26549198	12.22812623
2977621	7.948818368	8.734907159
3370869	7.090390608	4.901626387
2977690	10.42533761	10.96605116
3764199	6.691308726	9.136261465
2584520	5.508263836	5.770133954
3371003	5.580485461	4.71227111
3764245	6.331619685	5.15217801
3764289	7.908590771	6.648441954
3371114	5.263996821	5.397496094
3764384	10.71934818	10.91179892
3764399	5.394992514	4.861842908
2977949	5.389629619	5.922499171
2584712	4.042672788	4.137899664
3371225	7.082703388	5.685623438
3764471	8.055515634	9.765078307
2978026	10.11352405	9.730836355
2584787	5.991912936	8.048913671
2978044	6.100168217	6.342378143
3764527	5.541633314	5.39018845
2978050	9.076910438	9.349969695
3371303	6.25962323	8.569232837
3371339	9.603246614	9.133203876
3764581	4.861934279	5.056504051
3764592	5.914521472	8.017942316
2584904	5.899552089	5.254417676
3764680	8.465398047	9.001880101
2584957	5.475602934	4.49336126
3764738	11.02884538	10.24802638
3371544	6.56469902	8.81353324
2585129	4.327270589	3.840012647
3764872	10.63643204	10.98103206
3371637	12.96602231	13.27818324
2585167	4.413021954	4.04284567
3371660	5.456082485	8.088259993
3371673	7.93051116	8.770950146
3764933	8.803060706	9.211104696
2585236	8.615571707	9.081488764
3371719	10.29186252	11.18800769
2585322	4.541898879	3.999759531
3765059	7.304203451	8.231600408
2585400	7.89797248	6.143215847
3765167	9.50696505	9.721545831
3371928	7.081324979	10.43082537
2585476	5.004249685	4.270010575
3371964	4.649046316	7.274758628
3371986	8.848899092	10.42096375
3765299	7.911276628	9.150782204
3372097	6.449111907	8.388937159
2978876	10.40351539	10.36486421
3372129	6.103419481	6.437871893
3372174	5.514153039	7.829485966
2585701	5.869289079	7.546777445
2978957	10.34850687	9.381634514
3372209	9.952301165	11.02314675
2978989	8.562153684	9.895232933
3372235	6.672997356	6.343810489
3372253	8.234965883	11.03908355
2979056	9.907507366	11.18053702
3765574	6.441557345	4.781957722
