gene_id	GM12878_rep1	GM12878_rep2
ENSG00000238240.2	1.42576	0.194862
ENSG00000272420.1	0.0921966	0.679542
ENSG00000271921.1	0.760281	0.589068
ENSG00000271847.1	0.428642	0.304184
ENSG00000269753.1	0.0780215	1.17E-66
ENSG00000178642.5	8.58E-37	1.21E-05
ENSG00000157916.14	79.0918	76.4893
ENSG00000157911.5	9.00556	7.54195
ENSG00000149527.13	1.50157	0.936093
ENSG00000224387.1	0.141848	0.0680501
ENSG00000229393.1	0.0507885	0.0767085
ENSG00000157881.9	11.769	11.9592
ENSG00000197921.5	0.0646778	0.00917716
ENSG00000272449.1	1.84289	1.64798
ENSG00000238164.2	9.21902	6.92251
ENSG00000157873.13	117.347	85.2025
ENSG00000225931.3	0.803755	0.545699
ENSG00000228037.1	4.71097	2.85828
ENSG00000157870.10	5.14993	5.00872
ENSG00000237058.1	0	1.85E-243
ENSG00000142606.11	0.00133739	0.00585764
ENSG00000215912.7	0.355689	0.337184
ENSG00000233234.1	0	0
ENSG00000231630.1	0	0
ENSG00000169717.5	0.0146573	0
ENSG00000177133.6	0.004455	0.00754646
ENSG00000256761.1	0	0
ENSG00000142611.12	0.00381465	0.00294465
ENSG00000226286.1	0	0
ENSG00000272235.1	0	0.000219134
ENSG00000130762.10	0.0418575	0
ENSG00000272088.1	0	0
ENSG00000162591.11	0.161262	0.174913
ENSG00000207776.1	0	0
ENSG00000238260.1	0.198086	0.239477
ENSG00000158109.10	10.9312	10.1927
ENSG00000116213.11	17.2995	16.7194
ENSG00000227589.1	0.636095	0.563573
ENSG00000235131.1	0.181865	0.0519171
ENSG00000227372.6	8.596	7.25125
ENSG00000078900.10	15.1362	17.0049
ENSG00000162592.4	0.0103189	0.00432506
ENSG00000235169.3	1.26403	1.58664
ENSG00000130764.5	18.9864	21.5165
ENSG00000266075.1	0	0.399148
ENSG00000272153.1	1.10475	2.46781
ENSG00000116198.8	14.1976	15.1121
ENSG00000169598.11	2.51932	3.10166
ENSG00000264428.1	0	0
ENSG00000198912.6	14.2519	13.1938
ENSG00000236423.1	0.173895	0.167019
ENSG00000233304.1	0.0991493	0.0623354
ENSG00000226374.1	0.0217024	0.00581974
ENSG00000229280.1	0	0
ENSG00000235054.1	0.00952421	0.00165523
ENSG00000227169.2	0	0
ENSG00000232596.1	0.00204091	5.51E-05
ENSG00000196581.6	0.0163936	0.00538513
ENSG00000231510.1	0	0.000806874
ENSG00000260972.1	0	0
ENSG00000264341.1	0	0
ENSG00000236948.1	0.00447844	0.00645667
ENSG00000216045.2	0	0
ENSG00000264101.1	0	0
ENSG00000131697.13	2.96626	2.77228
ENSG00000266687.1	0	0
ENSG00000268332.1	2.64E-241	0
ENSG00000069424.10	67.4243	52.4175
ENSG00000116254.13	0.120263	0.197634
ENSG00000116251.5	526.683	887.436
ENSG00000226944.1	0.250477	0.43366
ENSG00000116237.11	11.5966	12.6252
ENSG00000158286.8	8.94798	11.2763
ENSG00000225077.2	0.132167	0.17297
ENSG00000173673.7	0	0
ENSG00000158292.6	1.96706	1.48596
ENSG00000097021.15	29.1428	24.0553
ENSG00000271746.1	4.50E-208	8.00E-158
ENSG00000069812.7	1.36623	0.800275
ENSG00000187017.10	0.358505	0.345707
ENSG00000265392.1	0	0
ENSG00000231868.1	0.00824834	1.55E-178
ENSG00000215788.5	0.302994	0.138302
ENSG00000171680.16	0.248163	0.333029
ENSG00000162408.10	3.61392	5.21927
ENSG00000253022.1	0	0
ENSG00000229519.2	0.279783	0.470481
ENSG00000173662.15	0.216068	0.096521
ENSG00000204859.7	12.2216	15.0078
ENSG00000162413.12	7.94335	10.0774
ENSG00000116273.5	9.50681	12.3034
ENSG00000041988.11	10.0979	6.57222
ENSG00000007923.11	18.4217	29.2454
ENSG00000228750.1	0	0
ENSG00000239166.1	0	0
ENSG00000237436.1	0.927849	0.629896
ENSG00000171735.14	40.1496	40.175
ENSG00000207056.1	0	0
ENSG00000237402.1	0	0.0339742
ENSG00000227950.1	0.0766058	0.0792643
ENSG00000237365.1	0.000672853	4.03E-116
ENSG00000237728.1	0	7.50E-167
ENSG00000225126.1	0.0610297	0
ENSG00000270171.1	0	0
ENSG00000270035.1	0	0
ENSG00000269978.1	0	0
ENSG00000049245.8	7.12391	4.85158
ENSG00000269925.1	0.231508	0.110214
ENSG00000049246.10	0.314646	0.224669
ENSG00000236266.1	1.14E-66	0.0398609
ENSG00000049247.9	0.00108744	0.000985882
ENSG00000049249.4	0.935357	0.685695
ENSG00000270330.1	0	0
ENSG00000116288.8	246.958	291.962
ENSG00000200344.1	0	0
ENSG00000116285.8	1.51179	1.52067
ENSG00000238290.1	0.00957881	0.00303374
ENSG00000232848.1	0.0575103	0.0178015
ENSG00000229305.1	0.00216892	0.0115433
ENSG00000200975.1	0	0
ENSG00000227634.1	0.0603582	0.000180181
ENSG00000233645.1	0	0
ENSG00000265414.1	0	0
ENSG00000251977.1	0	0
ENSG00000162426.10	0.0967815	0.056762
ENSG00000252254.1	0	0
ENSG00000142599.13	15.1047	17.7137
ENSG00000221083.1	0	0
ENSG00000224315.2	0.0474115	1.95E-07
ENSG00000222511.1	0	0
ENSG00000228423.2	0.0581398	0.0439395
ENSG00000232912.1	0.138946	0.123288
ENSG00000270282.1	0	0
ENSG00000234619.1	0.173359	0.7618
ENSG00000226545.1	6.04E-22	0.0820879
ENSG00000229716.2	0	0
ENSG00000074800.9	1874.73	1671.61
ENSG00000236269.1	6.07E-37	4.82E-06
ENSG00000230679.1	0.509528	0.947251
ENSG00000201725.1	0	0
ENSG00000238249.1	0.339535	0.20693
ENSG00000232208.2	0	0.213361
ENSG00000232663.2	0	0
ENSG00000131686.10	0.000769496	0.00314202
ENSG00000265141.1	0	0
ENSG00000197241.3	0	0.00495905
ENSG00000142583.13	40.2695	84.8718
ENSG00000252404.1	0	0
ENSG00000180758.10	4.04537	21.3171
ENSG00000207865.1	0	0
ENSG00000228526.2	0.809932	1.24768
ENSG00000234546.2	1.66116	0.958469
ENSG00000049239.8	5.00297	5.39583
ENSG00000252841.1	0	0
ENSG00000171621.9	2.0176	1.1664
ENSG00000252956.1	0	0
ENSG00000235263.1	0.00117141	0.000781887
ENSG00000171612.6	1.55076	1.78301
ENSG00000231181.1	0.112088	0.203817
ENSG00000188807.8	5.48284	5.70747
ENSG00000171608.11	40.6934	30.7259
ENSG00000271264.1	7.191	0.740185
ENSG00000179840.5	1.8965	1.34457
ENSG00000233268.3	1.00E-186	3.22E-79
ENSG00000231789.2	11.315	11.0815
ENSG00000171603.12	31.4145	29.8667
ENSG00000178585.10	11.0053	13.5072
ENSG00000223989.1	1.50582	1.96E-05
ENSG00000162441.7	8.46606	7.83895
ENSG00000228150.1	0.328474	0.526369
ENSG00000173614.9	3.94023	3.47148
ENSG00000202415.1	5.47E-133	4.63E-64
ENSG00000265521.1	0	0
ENSG00000241326.1	1.07588	0.017869
ENSG00000162444.11	0.0831044	0.0226852
ENSG00000225786.2	0	0
ENSG00000130939.14	14.3616	12.2539
ENSG00000233623.2	0.031298	3.38E-123
ENSG00000201746.1	9.93483	0
ENSG00000224340.1	0.0393772	0.0788979
ENSG00000054523.12	1.74979	1.53184
ENSG00000264881.1	0	0
ENSG00000199562.1	22.4833	0
ENSG00000264501.1	0.262925	0.0634443
ENSG00000265945.1	0.190002	0.275867
ENSG00000142657.16	59.3929	64.1985
ENSG00000271989.1	0.194532	0.0898308
ENSG00000175279.17	8.56463	7.39124
ENSG00000251503.3	0.487051	0.373951
ENSG00000241563.2	0.198715	0.116153
ENSG00000160049.7	16.1042	15.7994
ENSG00000203469.2	1.58E-84	7.66E-81
ENSG00000142655.8	13.5376	12.3872
ENSG00000243267.2	0	0
ENSG00000130940.10	1.63517	1.75187
ENSG00000272078.1	0.129415	0.0935208
ENSG00000225158.2	0	0
ENSG00000175262.10	0.929913	0.470539
ENSG00000215785.2	0	0.0331337
ENSG00000264181.1	0	0
ENSG00000207213.1	0	0
ENSG00000120948.11	66.8789	69.3075
ENSG00000009724.12	1.25496	3.40005
ENSG00000271895.1	5.51133	12.74
ENSG00000116649.5	85.7606	88.6267
ENSG00000171824.9	28.0549	26.1544
ENSG00000226849.1	0.0265352	0.0249453
ENSG00000230337.1	0.611498	0.292108
ENSG00000198793.8	8.01022	6.78082
ENSG00000271794.1	0	0
ENSG00000225602.1	5.45E-22	9.52E-08
ENSG00000253086.1	0	0
ENSG00000171819.4	0.016654	2.42E-08
ENSG00000207451.1	0	0
ENSG00000238173.1	0	7.12E-101
ENSG00000120942.9	5.20951	6.71133
ENSG00000238199.1	0.0323059	0.351543
ENSG00000224338.2	0	0
ENSG00000204624.6	0.0698192	0.0343685
ENSG00000235643.1	0.0328014	0.018705
ENSG00000116661.9	0.727938	0.613367
ENSG00000132879.9	13.0604	15.8499
ENSG00000116663.6	9.2055	8.1021
ENSG00000116670.10	33.3096	38.6202
ENSG00000162490.6	0.0400527	0.0187046
ENSG00000177674.11	6.30184	5.16114
ENSG00000215910.3	0.0417155	1.49856
ENSG00000011021.17	7.27137	6.57406
ENSG00000242349.1	1.61704	1.77785
ENSG00000177553.6	0.00494746	0
ENSG00000177000.6	6.86674	7.55201
ENSG00000175206.6	0.0396275	0.215686
ENSG00000120937.8	0.108722	0
ENSG00000224904.1	0.0733477	0.0630005
ENSG00000199347.1	6.5468	0
ENSG00000201801.1	0	202.101
ENSG00000116685.11	24.956	22.8095
ENSG00000083444.12	31.4003	34.0515
ENSG00000116688.12	18.5684	25.6444
ENSG00000270914.1	0	0
ENSG00000116691.6	24.9138	26.6865
ENSG00000202461.1	2.25E-33	1.02E-211
ENSG00000243539.2	0	0
ENSG00000120949.10	35.2471	23.2522
ENSG00000201135.1	0	0
ENSG00000227875.2	0	0.218427
ENSG00000028137.12	34.8512	44.8713
ENSG00000263676.1	0	0
ENSG00000225196.2	0	0
ENSG00000252969.1	0	0
ENSG00000048707.9	4.48378	2.99442
ENSG00000239149.1	0.461151	0
ENSG00000229484.1	0	0
ENSG00000162496.4	1.28609	1.44498
ENSG00000221340.1	0	0
ENSG00000272482.1	0	0
ENSG00000204518.2	0	0.000543181
ENSG00000226166.2	0	0
ENSG00000188984.7	0.000840007	0.000727391
ENSG00000238771.1	0	0
ENSG00000157330.5	0.00102194	0.00288192
ENSG00000116726.4	0	0
ENSG00000116721.9	0	0.00450448
ENSG00000228338.1	0	0
ENSG00000204513.5	0.0137331	0.00258631
ENSG00000231103.2	0.0147138	0.00269566
ENSG00000179172.7	1.15568	0.649949
ENSG00000120952.4	0.0125114	0.00353207
ENSG00000243073.3	0.00220576	0.00626547
ENSG00000187545.5	0	0.00132345
ENSG00000204510.1	0	0
ENSG00000207434.1	0	0
ENSG00000234064.1	0	0
ENSG00000232423.3	0.00157811	0.0100509
ENSG00000250894.1	0	0
ENSG00000239810.2	0.0338983	0
ENSG00000270601.1	0	0
ENSG00000204508.3	0	0
ENSG00000250113.1	0	0
ENSG00000204505.3	0	0
ENSG00000233336.1	0	0
ENSG00000229978.1	0	0
ENSG00000236179.1	0	0
ENSG00000179412.8	0.0416628	0.102272
ENSG00000224199.1	0	0
ENSG00000229571.2	0	0.0033871
ENSG00000204503.5	0	0
ENSG00000233394.1	0	0
ENSG00000204502.2	0.00105437	0.00924099
ENSG00000231219.1	0	0
ENSG00000207511.1	0	0
ENSG00000182330.6	0	0
ENSG00000237700.1	0	0.00437422
ENSG00000204501.2	0.00215009	0.00204498
ENSG00000228229.2	0	0
ENSG00000204495.3	0.00455103	0
ENSG00000204491.2	0	0
ENSG00000204488.3	0	0
ENSG00000204486.3	0	0.000481867
ENSG00000204485.2	0	0
ENSG00000224581.1	0	0.00187467
ENSG00000157358.7	0.00215009	0.00204498
ENSG00000204481.6	0.00599977	0
ENSG00000204480.6	0	0
ENSG00000204479.4	0	0
ENSG00000204478.5	0	0.000481012
ENSG00000162494.5	0	0.000935829
ENSG00000259961.1	0	0
ENSG00000215909.3	0	0.0100838
ENSG00000162493.12	0	0
ENSG00000222952.1	0	0
ENSG00000266358.1	0	0
ENSG00000237445.2	0.0262005	0.100236
ENSG00000253085.1	0	0
ENSG00000116731.18	21.1609	21.808
ENSG00000252151.1	0	0
ENSG00000231606.1	0	0.104016
ENSG00000234593.1	0	0.00273244
ENSG00000189337.11	0.384039	0.248867
ENSG00000235829.1	0.146474	0
ENSG00000175147.7	0.0514234	0.0751978
ENSG00000171729.9	3.57413	2.01555
ENSG00000204464.3	5.55E-36	3.49E-16
ENSG00000215720.4	0	0
ENSG00000142621.15	0.148602	0.125471
ENSG00000233485.1	0.00620677	0.00441446
ENSG00000236045.1	0.0253178	0.000896729
ENSG00000228140.1	0.0257132	0.0213637
ENSG00000142634.8	37.7214	46.9042
ENSG00000162438.7	0.00168531	0.00600926
ENSG00000142615.7	0.0109892	0.0329418
ENSG00000215704.5	0.0227548	0.0382166
ENSG00000132906.13	4.42845	5.16388
ENSG00000116138.8	3.20802	2.05858
ENSG00000251866.1	0	0
ENSG00000272510.1	0.20189	0.0386474
ENSG00000116771.5	1.64158	1.53516
ENSG00000237301.1	0.00876692	0.0592267
ENSG00000235084.2	64.9631	88.2207
ENSG00000252417.1	0	0
ENSG00000236500.1	0	0.244544
ENSG00000197312.7	5.40125	4.7849
ENSG00000215695.1	0.901062	0.988804
ENSG00000271742.1	0	0.987012
ENSG00000116786.7	21.9189	21.1549
ENSG00000264048.1	0	0
ENSG00000162461.7	0.220017	0.305463
ENSG00000162460.6	0	7.37E-13
ENSG00000237938.1	0.330182	0.384808
ENSG00000224459.1	0.00224331	0.00021788
ENSG00000162458.8	0.0499523	0.0392875
ENSG00000224321.1	9.36117	9.7312
ENSG00000233954.4	387.433	302.375
ENSG00000178715.7	95.1951	101.245
ENSG00000179743.2	2.0714	2.10762
ENSG00000270620.1	0	0.16141
ENSG00000065526.6	20.1397	26.1128
ENSG00000238818.1	0	0
ENSG00000116809.7	19.8166	24.7437
ENSG00000234607.2	0	1.13E-56
ENSG00000231353.1	0	0
ENSG00000224966.4	0	0
ENSG00000183888.4	0.0125916	0.00503192
ENSG00000233078.1	0	0.0676234
ENSG00000173641.13	0.105471	0.110144
ENSG00000186510.7	0.232199	0.172567
ENSG00000232456.1	0	0.00110377
ENSG00000184908.13	0.009285	0.00470945
ENSG00000185519.8	0.0597972	0.00681918
ENSG00000142627.9	0.204678	0.0924057
ENSG00000227959.1	0.159547	0.0705831
ENSG00000224621.1	0.0524663	0.0569424
ENSG00000234166.1	2.53E-29	0.106487
ENSG00000142632.12	1.5538	2.38996
ENSG00000237276.4	0.368459	0.545044
ENSG00000204377.3	0.380142	0.443482
ENSG00000132881.7	2.6222	2.57737
ENSG00000233929.1	5.74848	29.5102
ENSG00000037637.6	11.5704	7.44792
ENSG00000055070.12	76.522	89.4459
ENSG00000226457.1	23.4567	21.2098
ENSG00000187144.7	0.0520691	0.0508027
ENSG00000157191.15	41.5063	43.6549
ENSG00000226029.1	0.213499	0.238261
ENSG00000080947.10	1.02401	1.45018
ENSG00000206652.1	40.3524	128.096
ENSG00000261135.1	0.9633	0.76158
ENSG00000224174.2	0.477221	0.140092
ENSG00000233421.3	0.0114315	0.0766056
ENSG00000268674.1	0	0
ENSG00000225710.1	0.0656838	0.0589067
ENSG00000266584.1	0	0
ENSG00000219481.6	3.57563	2.92453
ENSG00000271732.1	0	0.0660371
ENSG00000215908.5	9.94904	11.8972
ENSG00000186301.7	1.99724	2.04224
ENSG00000207513.1	39.4292	127.021
ENSG00000237847.2	0	0.00630261
ENSG00000264742.1	0	0
ENSG00000236698.1	92.2164	84.0508
ENSG00000268869.1	0.039874	0.0398063
ENSG00000268991.1	0	0.00630261
ENSG00000058453.12	2.15682	3.38034
ENSG00000207389.1	40.0991	38.474
ENSG00000227684.1	0	0
ENSG00000230239.1	0.00693469	0.014744
ENSG00000228549.2	1.63E-12	0.0108138
ENSG00000235241.1	0.0743616	0.0238311
ENSG00000207005.1	39.839	39.1606
ENSG00000186715.6	0.839564	1.03107
ENSG00000223643.2	0	1.90E-54
ENSG00000263811.1	0	0
ENSG00000238142.1	1.11602	1.12088
ENSG00000272426.1	0.131441	0.0145147
ENSG00000117122.9	0.0232342	0.0285457
ENSG00000159363.13	8.58869	9.7457
ENSG00000226526.1	0.00576719	0.0394298
ENSG00000117118.5	62.1198	47.7653
ENSG00000117115.8	0.998997	0.422443
ENSG00000252180.1	0	0
ENSG00000204362.5	0	0
ENSG00000142623.8	0.0242098	0.0142836
ENSG00000142619.4	0.0572881	0.0102877
ENSG00000266634.1	0	0
ENSG00000159339.9	0.0734864	0.113052
ENSG00000269468.1	4.56E-14	2.68E-14
ENSG00000256049.2	0.000609736	0.000595325
ENSG00000227751.1	9.42111	6.88998
ENSG00000179051.9	36.6467	43.8613
ENSG00000266727.1	0	0
ENSG00000239020.1	0	0
ENSG00000074964.12	0.182355	0.107166
ENSG00000236648.1	0.00111356	0.0242273
ENSG00000117148.6	0.000249723	0.0184253
ENSG00000261781.1	0	0.000420796
ENSG00000117154.7	0.270986	0.166471
ENSG00000230035.2	0	0
ENSG00000225387.1	0.00719015	0
ENSG00000179023.7	0.00368101	0.00528892
ENSG00000235282.2	0	0
ENSG00000225478.2	0	0
ENSG00000009709.7	0.00334995	0.00385252
ENSG00000179002.5	0.00765447	0.00236056
ENSG00000255275.3	0.00888391	0.0120106
ENSG00000159423.12	5.42703	5.97682
ENSG00000265606.1	0	0
ENSG00000221662.1	0	0
ENSG00000169991.6	6.12424	5.75889
ENSG00000272084.1	0.03959	0.0684779
ENSG00000127481.10	51.5685	42.5212
ENSG00000266098.1	0	0
ENSG00000230424.1	1.61886	1.78217
ENSG00000053372.4	15.0895	18.718
ENSG00000127463.9	13.9521	16.1627
ENSG00000211454.9	0.296785	0.335246
ENSG00000162482.4	0.215527	0.338406
ENSG00000270728.1	0.573592	0.565293
ENSG00000053371.8	26.6205	20.0792
ENSG00000200403.1	0	2.41E-236
ENSG00000040487.8	5.92909	5.66288
ENSG00000265192.1	0	0
ENSG00000077549.13	170.185	161.377
ENSG00000240490.2	0	0
ENSG00000201609.1	0	0
ENSG00000239027.1	0	0
ENSG00000235185.1	0.0110979	0.0148823
ENSG00000270136.1	0.509637	0.509129
ENSG00000173436.9	60.6334	89.7697
ENSG00000226396.1	24.3031	85.8897
ENSG00000158747.9	0.880443	0.629859
ENSG00000158748.3	0.471198	0.378127
ENSG00000162542.9	5.04113	4.60869
ENSG00000178828.5	0	0
ENSG00000235434.1	0	0
ENSG00000169914.5	2.81359	4.15246
ENSG00000188784.4	0	0
ENSG00000242688.2	0	0
ENSG00000188257.6	0.048027	0
ENSG00000127472.6	0.0745905	0.0340963
ENSG00000117215.10	0.0144204	0.0414097
ENSG00000158786.4	0.00454876	0
ENSG00000227066.1	0	0.00511393
ENSG00000187980.6	0.00250703	0.00337063
ENSG00000225986.1	0.00874142	0.0945391
